,Company_name,Description,Price
0,Rolex,Rolex Cosmograph Daytona “LeMans” (Reference 126529). A limited edition white gold automatic wristwatch with chronograph. 2024,"264,700 USD"
1,Rolex,Rolex Cosmograph Daytona (Reference 116509). A white gold automatic wristwatch with chronograph. 2018,"42,500 USD"
2,Rolex,Rolex Cosmograph Daytona (Reference 116506). A platinum automatic wristwatch with chronograph. 2021,"95,740 USD"
3,Rolex,Rolex Cosmograph Daytona (Reference 116519). A white gold diamond set automatic wristwatch with chronograph. 2021,"39,400 USD"
4,Parmigiani Fleurier,Parmigiani Fleurier Tonda GT stainless steel annual calendar chronograph wristwatch. 2023,"18,320 USD"
5,Glashütte Original,Glashütte Panoreserve. A yellow gold manual wind wristwatch with power reserve. 2010,"12,260 USD"
6,Breguet,Breguet La Tradition (Reference 7027). A white gold manual wind wristwatch with power reserve. 2010,"13,680 USD"
7,Lederer,Lederer Central Impulse Chronometer (Reference CIC9012.60.801). A limited edition white gold central impulse chronometer manual wind wristwatch with silver dial.,"153,550 USD"
8,Rolex,Rolex Datejust (Reference 116189). A white gold diamond-set automatic wristwatch with date. 2008-2009,"24,900 USD"
9,Patek Philippe,"Patek Philippe (Reference 5960R-010). A rose gold automatic wristwatch with date, day, month, chronograph, and annual calendar. 2012","60,720 USD"
10,Patek Philippe,"Patek Philippe Grand Complications (Reference 5140J-001). A yellow gold automatic wristwatch with day, date, month, moon phase and leap year.","52,700 USD"
11,De Bethune,De Bethune Starry Varius (Reference DB25VRS3). A  rose gold astronomical manual wind wristwatch. 2023,"101,030 USD"
12,Ressence,Ressence Type 8 S titanium automatic wristwatch. 2023,"14,190 USD"
13,Patek Philippe,Patek Philippe Nautilus (Reference 3710/1A-001). A stainless steel automatic wristwatch with date and power reserve. 1999,"74,400 USD"
14,Vacheron Constantin,Vacheron Constantin Overseas (Reference 5500V/110A-B148). A stainless steel automatic wristwatch with date and chronograph. 2019,"37,000 USD"
15,Vacheron Constantin,Vacheron Constantin Overseas Special Edition (Reference 49152/000A-9540). A stainless steel automatic wristwatch with date and chronograph.,"27,800 USD"
16,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15407ST.OO.1220ST.01). A stainless steel skeletonised automatic wristwatch. circa 2019,"138,100 USD"
17,Rolex,Rolex Sea-Dweller (Reference 136660). A stainless steel automatic wristwatch with date.,"17,000 USD"
18,Patek Philippe,"Patek Philippe Complications (Reference 5905). A stainless steel automatic wristwatch with day, date, month, chronograph, and annual calendar. 2022","66,840 USD"
19,Audemars Piguet,Audemars Piguet Jules (Reference 26100OR.OO.D088CR.01). A rose gold automatic wristwatch with chronograph.,"23,100 USD"
20,Rolex,"Rolex Sky-Dweller (Reference 326135). A rose gold automatic wristwatch with date, dual time zones, and annual calendar. 2012","30,450 USD"
21,F. P. Journe,"F. P. Journe Octa Automatique Réserve Nacre. A rose gold automatic wristwatch with date, power reserve indication and mother of pearl dial. 2013","129,790 USD"
22,Patek Philippe,Patek Philippe Complications (Reference 5070G-001). A white gold wristwatch with chronograph. 2006,"77,160 USD"
23,Patek Philippe,"Patek Philippe Calatrava Weekly Calendar (Reference 5212A). A stainless steel automatic wristwatch with day, date, and month. 2021","34,910 USD"
24,F. P. Journe,F. P. Journe Chronomètre à Résonance. A platinum dual time manual wind wristwatch with power reserve indication. 2023,"296,770 USD"
25,Vacheron Constantin,Vacheron Constantin Patrimony (Reference 86020/000R) A pink gold Bi-retrograde automatic wristwatch. circa 2007,"27,350 USD"
26,Patek Philippe,Patek Philippe Complications (Reference 5935A). A stainless steel world time chronograph automatic wristwatch,"69,030 USD"
27,Lederer,Lederer Central Impulse Chronometer (Reference CIC9012.60.802). A limited edition white gold central impulse chronometer manual wind wristwatch with blue dial.,"153,550 USD"
28,Patek Philippe,"Patek Philippe Gondolo (Reference 5200G-010). A white gold manual wind wristwatch with date, day and 8 days power reserve.","38,100 USD"
29,Piaget,Piaget Altiplano Rose Gold Ultra-Thin Limited 300 Meteorite (Reference G0A44052). A rose gold diamond-set automatic wristwatch with date.,"21,500 USD"
30,Rolex,Rolex Cellini (Reference 50535). A rose gold automatic wristwatch with moonphase.,"24,100 USD"
31,Bvlgari,"Rose Gold, Diamond and Mother of Pearl Serpenti Bracelet Watch","73,335 USD"
32,Cartier,"Cartier Panthère de Cartier, a yellow gold diamond set quartz wristwatch.","16,000 USD"
33,Harry Winston,Harry Winston Avenue (Refenrence N3006). A white gold diamond set quartz wristwatch.,"36,000 USD"
34,Rolex,Rolex Cosmograph Daytona (Reference 116523). A yellow gold stainless steel automatic wristwatch with chronograph. 2015,"21,250 USD"
35,Rolex,Rolex Datejust (Reference 126333). A yellow gold stainless steel automatic wristwatch with date. 2021,"16,400 USD"
36,Rolex,Rolex Yacht-Master (Reference 126621). A rose gold stainless steel automatic wristwatch with date. 2022,"16,500 USD"
37,Patek Philippe,"Patek Philippe In-Line (Reference 5236P-001). A platinum automatic wristwatch with date, day, month, moonphase, day and night indicator, and perpetual calendar. 2021","90,640 USD"
38,F. P. Journe,F. P. Journe Élégante Titanium. A titanium quartz wristwatch. 2021,"58,060 USD"
39,Patek Philippe,Patek Philippe Calatrava (Reference 5296G-001). A white gold automatic wristwatch with date.,"23,200 USD"
40,Breguet,"Breguet Reine de Naples (Reference 8908BB). A white gold diamond set automatic wristwatch with moon phase, power reserve indication, and mother of pearl dial. 2024","31,880 USD"
41,Patek Philippe,Patek Philippe Gondolo (Reference 5098R). A rose gold manual wind wristwatch.,"24,650 USD"
42,Rolex,"Lady Datejust Reference 69138, a yellow gold automatic wristwatch with date, Circa 1989","8,500 USD"
43,Rolex,"Rolex GMT Master-II (Reference 116759). A white gold, diamond and black sapphire set automatic wristwatch with date. circa 2008","103,350 USD"
44,Rolex,Rolex Datejust (Reference 179158) A yellow gold and diamond-set automatic wristwatch with date. circa 2000,"28,900 USD"
45,Cartier,Cartier Santos (Reference WGSA0030 ). A rose gold automatic wristwatch.2023,"27,350 USD"
46,Cartier,Cartier Baignoire XL (Reference WB520005). A yellow gold  diamond-set manual wind wristwatch.,"25,700 USD"
47,Patek Philippe,Patek Philippe Gondolo (Reference 7041R). A rose gold diamond set manual wind wristwatch. 2016,"28,840 USD"
48,Rolex,Rolex Daytona Zenith (Reference 16520). A stainless steel automatic wristwatch with chronograph. 1997-1998,"27,600 USD"
49,Rolex,Rolex Submariner Hulk (Reference 116610LV). A stainless steel automatic wristwatch with date. 2018,"22,060 USD"
50,Audemars Piguet,Audemars Piguet Royal Oak (Reference 25860ST.00.1110ST.01). A stainless steel automatic wristwatch with date and chronograph. 1998,"34,600 USD"
51,Audemars Piguet,Audemars Piguet Royal Oak Tourbillon (Reference 25977ST.OO.D002CR.01). A stainless steel automatic wristwatch with chronograph.,"87,700 USD"
52,Patek Philippe,Patek Philippe World Time (Reference 5110P-001). A platinum automatic wristwatch with complications.,"45,000 USD"
53,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15452BC.ZZ.D019CR.01). A white gold diamond-set automatic wristwatch with date.,"78,200 USD"
54,Audemars Piguet,Audemars Piguet Royal Oak (Reference 67651SR.ZZ.1261SR.01). A rose gold and stainless steel diamond-set quartz wristwatch with date.,"34,800 USD"
55,Rolex,Rolex Datejust Wimbledon (Reference 126301). A rose gold stainless steel automatic wristwatch with date. 2020,"16,400 USD"
56,Rolex,Rolex Daytona (Reference 116528). A yellow gold automatic wristwatch with chronograph. 2003,"42,200 USD"
57,Rolex,Rolex GMT-Master II Sprite (Reference 126720). A stainless steel automatic wristwatch with date. 2024,"20,000 USD"
58,Rolex,Rolex GMT Master II Pepsi (Reference 116719). A white gold automatic wristwatch with date. 2014-2018,"35,800 USD"
59,Rolex,"Rolex Day-Date (Reference 18948) A tri-colour gold, enamel and diamond-set wristwatch. circa 2008","83,800 USD"
60,Rolex,Rolex. Day-Date (Reference 18948) A tri-colour gold and diamond-set meteorite dial wristwatch. circa 2015,"73,200 USD"
61,Rolex,Rolex Cosmograph Daytona Oysterflex (Reference 116515). A rose gold automatic wristwatch with chronograph.,"38,700 USD"
62,Patek Philippe,Patek Philippe Calatrava (Reference 4896G). A white gold diamond-set automatic wristwatch. 2008,"22,800 USD"
63,IWC,"IWC Big Pilot (Reference IW503605). A stainless steel automatic wristwatch with day, date, month, year, 7 day power reserve and perpetual calendar.","23,900 USD"
64,Rolex,Rolex President Day-Date (Reference 118138). A yellow gold automatic wristwatch with day and date.,"25,400 USD"
65,Patek Philippe,Patek Philippe Calatrava (Reference 5296G). A white gold automatic wristwatch with date.,"24,900 USD"
66,Rolex,Rolex President Day-Date (Reference 128345). An unworn rose gold aventurine diamond set automatic wristwatch with day and date. 2023,"78,500 USD"
67,Rolex,Rolex Pearlmaster (Reference 86348). A yellow gold diamond-set sapphire bezel automatic wristwatch with date. 2019,"60,500 USD"
68,Rolex,Rolex President Day-Date (Reference 118346). A platinum diamond-set automatic wristwatch with date and day. 2003,"38,700 USD"
69,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15202ST.OO.0944ST.01). A stainless steel automatic wristwatch with date.,"57,100 USD"
